age,job,marital,education,default,housing,loan,contact,month,day_of_week,duration,campaign,pdays,previous,poutcome,emp.var.rate,cons.price.idx,cons.conf.idx,euribor3m,nr.employed,subscribed,campaign [Binned] (equi-width),campaign [Binned](equi-depth),duration(min - max normalization),duration(z- score normalization),married(Binarization),divorced(Binarization),single(Binarization),unknown(Binarization),age_binned(Discretization)
52,unemployed,married,high.school,unknown,yes,no,telephone,may,mon,151,1,999,0,nonexistent,1.1,93.994,-36.4,4.857,5191,no,Bin 1,Bin 1,0.038878604,-0.402586595,1,0,0,0,Mid-age
53,technician,divorced,professional.course,unknown,no,yes,telephone,may,mon,206,2,999,0,nonexistent,1.1,93.994,-36.4,4.857,5191,no,Bin 1,Bin 2,0.05342502,-0.200424613,0,1,0,0,Mid-age
37,technician,single,professional.course,no,yes,no,telephone,may,mon,98,2,999,0,nonexistent,1.1,93.994,-36.4,4.857,5191,no,Bin 1,Bin 2,0.024861148,-0.597397231,0,0,1,0,Adult
49,blue-collar,divorced,high.school,no,no,yes,telephone,may,mon,742,2,999,0,nonexistent,1.1,93.994,-36.4,4.857,5191,no,Bin 1,Bin 2,0.195186459,1.769735785,0,1,0,0,Mid-age
34,admin.,single,basic.9y,unknown,no,no,telephone,may,mon,453,2,999,0,nonexistent,1.1,93.994,-36.4,4.857,5191,no,Bin 1,Bin 2,0.118751653,0.707466466,0,0,1,0,Adult
36,admin.,married,high.school,no,no,no,telephone,may,mon,669,3,999,0,nonexistent,1.1,93.994,-36.4,4.857,5191,no,Bin 2,Bin 3,0.175879397,1.501411701,1,0,0,0,Adult
29,services,single,high.school,no,yes,no,telephone,may,mon,425,2,999,0,nonexistent,1.1,93.994,-36.4,4.857,5191,no,Bin 1,Bin 2,0.111346205,0.604547639,0,0,1,0,Adult
36,blue-collar,single,high.school,no,yes,yes,telephone,may,mon,402,3,999,0,nonexistent,1.1,93.994,-36.4,4.857,5191,no,Bin 2,Bin 3,0.105263158,0.520007174,0,0,1,0,Adult
52,technician,married,high.school,no,yes,no,telephone,may,mon,503,2,999,0,nonexistent,1.1,93.994,-36.4,4.857,5191,no,Bin 1,Bin 2,0.131975668,0.891250085,1,0,0,0,Mid-age
38,admin.,single,university.degree,no,no,no,telephone,may,tue,189,1,999,0,nonexistent,1.1,93.994,-36.4,4.857,5191,no,Bin 1,Bin 1,0.048928855,-0.262911044,0,0,1,0,Adult
45,admin.,married,basic.9y,no,no,no,telephone,may,tue,243,1,999,0,nonexistent,1.1,93.994,-36.4,4.857,5191,no,Bin 1,Bin 1,0.063210791,-0.064424735,1,0,0,0,Mid-age
48,services,married,high.school,unknown,unknown,unknown,telephone,may,tue,152,1,999,0,nonexistent,1.1,93.994,-36.4,4.857,5191,no,Bin 1,Bin 1,0.039143084,-0.398910922,1,0,0,0,Mid-age
36,services,married,high.school,no,no,yes,telephone,may,tue,140,2,999,0,nonexistent,1.1,93.994,-36.4,4.857,5191,no,Bin 1,Bin 2,0.03596932,-0.443018991,1,0,0,0,Adult
38,blue-collar,married,basic.4y,unknown,yes,no,telephone,may,tue,118,1,999,0,nonexistent,1.1,93.994,-36.4,4.857,5191,no,Bin 1,Bin 1,0.030150754,-0.523883783,1,0,0,0,Adult
43,self-employed,married,basic.9y,unknown,no,no,telephone,may,tue,744,1,999,0,nonexistent,1.1,93.994,-36.4,4.857,5191,no,Bin 1,Bin 1,0.195715419,1.77708713,1,0,0,0,Adult
26,housemaid,married,university.degree,no,no,no,telephone,may,tue,246,1,999,0,nonexistent,1.1,93.994,-36.4,4.857,5191,no,Bin 1,Bin 1,0.064004232,-0.053397718,1,0,0,0,Adult
48,admin.,married,university.degree,no,yes,no,telephone,may,tue,159,1,999,0,nonexistent,1.1,93.994,-36.4,4.857,5191,no,Bin 1,Bin 1,0.040994446,-0.373181216,1,0,0,0,Mid-age
38,services,married,high.school,no,yes,no,telephone,may,tue,169,1,999,0,nonexistent,1.1,93.994,-36.4,4.857,5191,no,Bin 1,Bin 1,0.043639249,-0.336424492,1,0,0,0,Adult
56,technician,married,unknown,no,yes,no,telephone,may,tue,174,2,999,0,nonexistent,1.1,93.994,-36.4,4.857,5191,no,Bin 1,Bin 2,0.04496165,-0.31804613,1,0,0,0,Mid-age
37,management,married,university.degree,no,yes,no,telephone,may,tue,211,1,999,0,nonexistent,1.1,93.994,-36.4,4.857,5191,no,Bin 1,Bin 1,0.054747421,-0.182046251,1,0,0,0,Adult
47,admin.,single,unknown,unknown,yes,no,telephone,may,tue,247,1,999,0,nonexistent,1.1,93.994,-36.4,4.857,5191,no,Bin 1,Bin 1,0.064268712,-0.049722046,0,0,1,0,Mid-age
33,blue-collar,single,basic.4y,unknown,no,no,telephone,may,tue,26,1,999,0,nonexistent,1.1,93.994,-36.4,4.857,5191,no,Bin 1,Bin 1,0.005818567,-0.862045643,0,0,1,0,Adult
32,entrepreneur,single,university.degree,no,yes,no,telephone,may,tue,242,2,999,0,nonexistent,1.1,93.994,-36.4,4.857,5191,no,Bin 1,Bin 2,0.06294631,-0.068100408,0,0,1,0,Adult
35,admin.,divorced,high.school,no,no,yes,telephone,may,tue,259,2,999,0,nonexistent,1.1,93.994,-36.4,4.857,5191,no,Bin 1,Bin 2,0.067442476,-0.005613977,0,1,0,0,Adult
35,admin.,divorced,university.degree,no,unknown,unknown,telephone,may,tue,179,1,999,0,nonexistent,1.1,93.994,-36.4,4.857,5191,no,Bin 1,Bin 1,0.046284052,-0.299667768,0,1,0,0,Adult
49,entrepreneur,married,professional.course,no,unknown,unknown,telephone,may,tue,524,2,999,0,nonexistent,1.1,93.994,-36.4,4.857,5191,no,Bin 1,Bin 2,0.137529754,0.968439205,1,0,0,0,Mid-age
34,admin.,single,university.degree,no,no,yes,telephone,may,tue,262,2,999,0,nonexistent,1.1,93.994,-36.4,4.857,5191,no,Bin 1,Bin 2,0.068235916,0.00541304,0,0,1,0,Adult
59,blue-collar,married,basic.4y,no,yes,no,telephone,may,tue,424,2,999,0,nonexistent,1.1,93.994,-36.4,4.857,5191,no,Bin 1,Bin 2,0.111081724,0.600871967,1,0,0,0,Mid-age
50,blue-collar,married,basic.4y,unknown,yes,no,telephone,may,tue,507,1,999,0,nonexistent,1.1,93.994,-36.4,4.857,5191,no,Bin 1,Bin 1,0.133033589,0.905952775,1,0,0,0,Mid-age
32,blue-collar,married,basic.9y,no,yes,no,telephone,may,tue,477,1,999,0,nonexistent,1.1,93.994,-36.4,4.857,5191,no,Bin 1,Bin 1,0.12509918,0.795682603,1,0,0,0,Adult
45,housemaid,married,professional.course,unknown,yes,no,telephone,may,tue,1597,2,999,0,nonexistent,1.1,93.994,-36.4,4.857,5191,yes,Bin 1,Bin 2,0.421317112,4.912435675,1,0,0,0,Mid-age
53,admin.,married,university.degree,unknown,yes,no,telephone,may,tue,13,6,999,0,nonexistent,1.1,93.994,-36.4,4.857,5191,no,Bin 5,Bin 5,0.002380323,-0.909829384,1,0,0,0,Mid-age
40,entrepreneur,married,basic.9y,no,no,no,telephone,may,tue,109,2,999,0,nonexistent,1.1,93.994,-36.4,4.857,5191,no,Bin 1,Bin 2,0.027770431,-0.556964835,1,0,0,0,Adult
52,self-employed,married,university.degree,no,no,no,telephone,may,tue,31,3,999,0,nonexistent,1.1,93.994,-36.4,4.857,5191,no,Bin 2,Bin 3,0.007140968,-0.843667281,1,0,0,0,Mid-age
40,technician,married,basic.9y,no,no,no,telephone,may,tue,631,2,999,0,nonexistent,1.1,93.994,-36.4,4.857,5191,no,Bin 1,Bin 2,0.165829146,1.36173615,1,0,0,0,Adult
38,admin.,married,high.school,no,no,no,telephone,may,tue,112,4,999,0,nonexistent,1.1,93.994,-36.4,4.857,5191,no,Bin 3,Bin 4,0.028563872,-0.545937818,1,0,0,0,Adult
39,self-employed,single,basic.4y,unknown,yes,no,telephone,may,tue,83,4,999,0,nonexistent,1.1,93.994,-36.4,4.857,5191,no,Bin 3,Bin 4,0.020893943,-0.652532317,0,0,1,0,Adult
44,technician,single,professional.course,no,yes,yes,telephone,may,tue,139,2,999,0,nonexistent,1.1,93.994,-36.4,4.857,5191,no,Bin 1,Bin 2,0.03570484,-0.446694663,0,0,1,0,Adult
37,blue-collar,married,basic.9y,unknown,yes,no,telephone,may,wed,148,3,999,0,nonexistent,1.1,93.994,-36.4,4.856,5191,no,Bin 2,Bin 3,0.038085163,-0.413613612,1,0,0,0,Adult
44,self-employed,married,university.degree,unknown,no,no,telephone,may,wed,202,2,999,0,nonexistent,1.1,93.994,-36.4,4.856,5191,no,Bin 1,Bin 2,0.052367099,-0.215127303,1,0,0,0,Adult
30,services,married,high.school,unknown,no,no,telephone,may,wed,629,2,999,0,nonexistent,1.1,93.994,-36.4,4.856,5191,no,Bin 1,Bin 2,0.165300185,1.354384806,1,0,0,0,Adult
39,blue-collar,divorced,basic.9y,no,no,no,telephone,may,wed,143,1,999,0,nonexistent,1.1,93.994,-36.4,4.856,5191,no,Bin 1,Bin 1,0.036762761,-0.431991974,0,1,0,0,Adult
36,housemaid,married,basic.4y,no,yes,no,telephone,may,wed,128,1,999,0,nonexistent,1.1,93.994,-36.4,4.856,5191,no,Bin 1,Bin 1,0.032795557,-0.487127059,1,0,0,0,Adult
54,technician,married,university.degree,no,yes,no,telephone,may,wed,464,1,999,0,nonexistent,1.1,93.994,-36.4,4.856,5191,no,Bin 1,Bin 1,0.121660936,0.747898862,1,0,0,0,Mid-age
53,blue-collar,married,basic.9y,unknown,yes,yes,telephone,may,wed,615,1,999,0,nonexistent,1.1,93.994,-36.4,4.856,5191,no,Bin 1,Bin 1,0.161597461,1.302925392,1,0,0,0,Mid-age
31,blue-collar,married,basic.6y,unknown,yes,no,telephone,may,wed,298,1,999,0,nonexistent,1.1,93.994,-36.4,4.856,5191,no,Bin 1,Bin 1,0.077757207,0.137737246,1,0,0,0,Adult
41,entrepreneur,married,university.degree,no,yes,no,telephone,may,wed,1138,1,999,0,nonexistent,1.1,93.994,-36.4,4.856,5191,yes,Bin 1,Bin 1,0.299920656,3.22530205,1,0,0,0,Adult
41,admin.,married,university.degree,no,yes,no,telephone,may,wed,153,1,999,0,nonexistent,1.1,93.994,-36.4,4.856,5191,no,Bin 1,Bin 1,0.039407564,-0.39523525,1,0,0,0,Adult
39,retired,single,high.school,no,yes,no,telephone,may,wed,448,1,999,0,nonexistent,1.1,93.994,-36.4,4.856,5191,no,Bin 1,Bin 1,0.117429252,0.689088104,0,0,1,0,Adult
31,blue-collar,single,basic.9y,no,no,no,telephone,may,wed,143,1,999,0,nonexistent,1.1,93.994,-36.4,4.856,5191,no,Bin 1,Bin 1,0.036762761,-0.431991974,0,0,1,0,Adult
46,admin.,married,professional.course,no,no,no,telephone,may,wed,69,1,999,0,nonexistent,1.1,93.994,-36.4,4.856,5191,no,Bin 1,Bin 1,0.017191219,-0.70399173,1,0,0,0,Mid-age
32,admin.,single,university.degree,unknown,yes,no,telephone,may,wed,229,3,999,0,nonexistent,1.1,93.994,-36.4,4.856,5191,no,Bin 2,Bin 3,0.059508067,-0.115884149,0,0,1,0,Adult
46,management,married,basic.9y,no,no,no,telephone,may,wed,617,1,999,0,nonexistent,1.1,93.994,-36.4,4.856,5191,no,Bin 1,Bin 1,0.162126422,1.310276737,1,0,0,0,Mid-age
32,entrepreneur,divorced,university.degree,no,no,no,telephone,may,wed,96,1,999,0,nonexistent,1.1,93.994,-36.4,4.856,5191,no,Bin 1,Bin 1,0.024332187,-0.604748576,0,1,0,0,Adult
45,entrepreneur,single,university.degree,no,unknown,unknown,telephone,may,wed,229,3,999,0,nonexistent,1.1,93.994,-36.4,4.856,5191,no,Bin 2,Bin 3,0.059508067,-0.115884149,0,0,1,0,Mid-age
46,admin.,divorced,university.degree,unknown,no,no,telephone,may,wed,93,1,999,0,nonexistent,1.1,93.994,-36.4,4.856,5191,no,Bin 1,Bin 1,0.023538746,-0.615775593,0,1,0,0,Mid-age
31,blue-collar,married,basic.6y,no,yes,no,telephone,may,wed,253,2,999,0,nonexistent,1.1,93.994,-36.4,4.856,5191,no,Bin 1,Bin 2,0.065855594,-0.027668011,1,0,0,0,Adult
35,admin.,single,basic.4y,unknown,no,no,telephone,may,wed,803,1,999,0,nonexistent,1.1,93.994,-36.4,4.856,5191,no,Bin 1,Bin 1,0.211319757,1.993951801,0,0,1,0,Adult
47,management,married,university.degree,no,no,no,telephone,may,wed,550,3,999,0,nonexistent,1.1,93.994,-36.4,4.856,5191,no,Bin 2,Bin 3,0.144406242,1.064006687,1,0,0,0,Mid-age
40,blue-collar,married,basic.9y,unknown,yes,no,telephone,may,wed,113,3,999,0,nonexistent,1.1,93.994,-36.4,4.856,5191,no,Bin 2,Bin 3,0.028828352,-0.542262145,1,0,0,0,Adult
32,management,divorced,basic.4y,unknown,no,no,telephone,may,wed,396,4,999,0,nonexistent,1.1,93.994,-36.4,4.856,5191,no,Bin 3,Bin 4,0.103676276,0.49795314,0,1,0,0,Adult
51,technician,married,professional.course,no,yes,no,telephone,may,wed,113,2,999,0,nonexistent,1.1,93.994,-36.4,4.856,5191,no,Bin 1,Bin 2,0.028828352,-0.542262145,1,0,0,0,Mid-age
36,blue-collar,married,basic.9y,no,yes,no,telephone,may,wed,231,2,999,0,nonexistent,1.1,93.994,-36.4,4.856,5191,no,Bin 1,Bin 2,0.060037027,-0.108532804,1,0,0,0,Adult
54,blue-collar,married,basic.9y,no,yes,no,telephone,may,wed,90,2,999,0,nonexistent,1.1,93.994,-36.4,4.856,5191,no,Bin 1,Bin 2,0.022745305,-0.62680261,1,0,0,0,Mid-age
37,technician,married,professional.course,no,yes,no,telephone,may,thu,238,3,999,0,nonexistent,1.1,93.994,-36.4,4.855,5191,no,Bin 2,Bin 3,0.061888389,-0.082803097,1,0,0,0,Adult
40,admin.,single,high.school,no,no,yes,telephone,may,thu,110,1,999,0,nonexistent,1.1,93.994,-36.4,4.855,5191,no,Bin 1,Bin 1,0.028034911,-0.553289162,0,0,1,0,Adult
55,admin.,married,high.school,no,no,no,telephone,may,thu,94,1,999,0,nonexistent,1.1,93.994,-36.4,4.855,5191,no,Bin 1,Bin 1,0.023803227,-0.612099921,1,0,0,0,Mid-age
30,technician,married,professional.course,no,no,no,telephone,may,thu,65,1,999,0,nonexistent,1.1,93.994,-36.4,4.855,5191,no,Bin 1,Bin 1,0.016133298,-0.71869442,1,0,0,0,Adult
35,unknown,married,basic.9y,no,yes,yes,telephone,may,thu,20,1,999,0,nonexistent,1.1,93.994,-36.4,4.855,5191,no,Bin 1,Bin 1,0.004231685,-0.884099677,1,0,0,0,Adult
46,blue-collar,married,basic.4y,unknown,no,no,telephone,may,thu,202,1,999,0,nonexistent,1.1,93.994,-36.4,4.855,5191,no,Bin 1,Bin 1,0.052367099,-0.215127303,1,0,0,0,Mid-age
32,blue-collar,married,professional.course,no,no,no,telephone,may,thu,1119,1,999,0,nonexistent,1.1,93.994,-36.4,4.855,5191,yes,Bin 1,Bin 1,0.29489553,3.155464275,1,0,0,0,Adult
31,blue-collar,married,basic.9y,no,no,no,telephone,may,thu,362,1,999,0,nonexistent,1.1,93.994,-36.4,4.855,5191,no,Bin 1,Bin 1,0.094683946,0.372980279,1,0,0,0,Adult
35,entrepreneur,married,university.degree,no,yes,yes,telephone,may,thu,477,1,999,0,nonexistent,1.1,93.994,-36.4,4.855,5191,no,Bin 1,Bin 1,0.12509918,0.795682603,1,0,0,0,Adult
54,admin.,married,university.degree,no,no,no,telephone,may,thu,513,1,999,0,nonexistent,1.1,93.994,-36.4,4.855,5191,yes,Bin 1,Bin 1,0.134620471,0.928006809,1,0,0,0,Mid-age
49,technician,married,professional.course,no,no,no,telephone,may,thu,63,2,999,0,nonexistent,1.1,93.994,-36.4,4.855,5191,no,Bin 1,Bin 2,0.015604337,-0.726045765,1,0,0,0,Mid-age
43,technician,married,university.degree,no,yes,no,telephone,may,thu,159,4,999,0,nonexistent,1.1,93.994,-36.4,4.855,5191,no,Bin 3,Bin 4,0.040994446,-0.373181216,1,0,0,0,Adult
31,blue-collar,married,basic.9y,no,yes,no,telephone,may,thu,141,1,999,0,nonexistent,1.1,93.994,-36.4,4.855,5191,no,Bin 1,Bin 1,0.036233801,-0.439343318,1,0,0,0,Adult
27,blue-collar,married,basic.9y,no,no,no,telephone,may,thu,44,1,999,0,nonexistent,1.1,93.994,-36.4,4.855,5191,no,Bin 1,Bin 1,0.010579212,-0.79588354,1,0,0,0,Adult
34,blue-collar,married,basic.6y,unknown,yes,yes,telephone,may,thu,26,1,999,0,nonexistent,1.1,93.994,-36.4,4.855,5191,no,Bin 1,Bin 1,0.005818567,-0.862045643,1,0,0,0,Adult
48,management,married,university.degree,unknown,yes,no,telephone,may,thu,293,2,999,0,nonexistent,1.1,93.994,-36.4,4.855,5191,no,Bin 1,Bin 2,0.076434806,0.119358884,1,0,0,0,Mid-age
43,blue-collar,married,basic.4y,no,no,no,telephone,may,thu,534,2,999,0,nonexistent,1.1,93.994,-36.4,4.855,5191,no,Bin 1,Bin 2,0.140174557,1.005195929,1,0,0,0,Adult
29,admin.,single,high.school,no,no,no,telephone,may,thu,149,1,999,0,nonexistent,1.1,93.994,-36.4,4.855,5191,no,Bin 1,Bin 1,0.038349643,-0.409937939,0,0,1,0,Adult
43,unemployed,married,basic.4y,no,no,no,telephone,may,thu,92,1,999,0,nonexistent,1.1,93.994,-36.4,4.855,5191,no,Bin 1,Bin 1,0.023274266,-0.619451265,1,0,0,0,Adult
44,blue-collar,married,basic.4y,unknown,no,no,telephone,may,thu,190,1,999,0,nonexistent,1.1,93.994,-36.4,4.855,5191,no,Bin 1,Bin 1,0.049193335,-0.259235372,1,0,0,0,Adult
43,unemployed,married,basic.9y,no,yes,no,telephone,may,thu,305,2,999,0,nonexistent,1.1,93.994,-36.4,4.855,5191,no,Bin 1,Bin 2,0.079608569,0.163466953,1,0,0,0,Adult
50,blue-collar,single,basic.9y,unknown,yes,yes,telephone,may,thu,184,1,999,0,nonexistent,1.1,93.994,-36.4,4.855,5191,no,Bin 1,Bin 1,0.047606453,-0.281289406,0,0,1,0,Mid-age
53,retired,married,high.school,unknown,yes,no,telephone,may,thu,23,5,999,0,nonexistent,1.1,93.994,-36.4,4.855,5191,no,Bin 4,Bin 5,0.005025126,-0.87307266,1,0,0,0,Mid-age
51,blue-collar,married,basic.9y,unknown,yes,no,telephone,may,thu,1178,2,999,0,nonexistent,1.1,93.994,-36.4,4.855,5191,yes,Bin 1,Bin 2,0.310499868,3.372328945,1,0,0,0,Mid-age
28,blue-collar,married,basic.6y,unknown,yes,yes,telephone,may,thu,318,2,999,0,nonexistent,1.1,93.994,-36.4,4.855,5191,no,Bin 1,Bin 2,0.083046813,0.211250694,1,0,0,0,Adult
57,services,divorced,high.school,unknown,no,yes,telephone,may,thu,185,2,999,0,nonexistent,1.1,93.994,-36.4,4.855,5191,no,Bin 1,Bin 2,0.047870934,-0.277613733,0,1,0,0,Mid-age
60,entrepreneur,married,basic.4y,no,no,no,telephone,may,thu,71,2,999,0,nonexistent,1.1,93.994,-36.4,4.855,5191,no,Bin 1,Bin 2,0.01772018,-0.696640385,1,0,0,0,Mid-age
35,blue-collar,married,basic.9y,no,yes,no,telephone,may,thu,191,2,999,0,nonexistent,1.1,93.994,-36.4,4.855,5191,no,Bin 1,Bin 2,0.049457815,-0.255559699,1,0,0,0,Adult
57,services,married,basic.6y,no,no,no,telephone,may,thu,43,2,999,0,nonexistent,1.1,93.994,-36.4,4.855,5191,no,Bin 1,Bin 2,0.010314732,-0.799559212,1,0,0,0,Mid-age
32,technician,married,professional.course,no,yes,yes,telephone,may,thu,105,2,999,0,nonexistent,1.1,93.994,-36.4,4.855,5191,no,Bin 1,Bin 2,0.02671251,-0.571667524,1,0,0,0,Adult
38,admin.,married,basic.9y,unknown,no,no,telephone,may,thu,192,2,999,0,nonexistent,1.1,93.994,-36.4,4.855,5191,no,Bin 1,Bin 2,0.049722296,-0.251884027,1,0,0,0,Adult
35,technician,married,university.degree,no,yes,no,telephone,may,thu,330,3,999,0,nonexistent,1.1,93.994,-36.4,4.855,5191,no,Bin 2,Bin 3,0.086220577,0.255358762,1,0,0,0,Adult
42,blue-collar,married,basic.4y,unknown,yes,no,telephone,may,thu,160,3,999,0,nonexistent,1.1,93.994,-36.4,4.855,5191,no,Bin 2,Bin 3,0.041258926,-0.369505543,1,0,0,0,Adult
54,technician,married,basic.9y,no,no,no,telephone,may,thu,207,3,999,0,nonexistent,1.1,93.994,-36.4,4.855,5191,no,Bin 2,Bin 3,0.0536895,-0.196748941,1,0,0,0,Mid-age
39,services,single,high.school,no,no,no,telephone,may,fri,346,4,999,0,nonexistent,1.1,93.994,-36.4,4.855,5191,no,Bin 3,Bin 4,0.090452261,0.314169521,0,0,1,0,Adult
30,blue-collar,married,basic.4y,no,no,no,telephone,may,fri,371,1,999,0,nonexistent,1.1,93.994,-36.4,4.855,5191,no,Bin 1,Bin 1,0.097064269,0.40606133,1,0,0,0,Adult
27,blue-collar,married,university.degree,no,no,yes,telephone,may,fri,357,1,999,0,nonexistent,1.1,93.994,-36.4,4.855,5191,no,Bin 1,Bin 1,0.093361545,0.354601917,1,0,0,0,Adult
32,unknown,unknown,university.degree,no,no,no,telephone,may,fri,617,4,999,0,nonexistent,1.1,93.994,-36.4,4.855,5191,yes,Bin 3,Bin 4,0.162126422,1.310276737,0,0,0,1,Adult
38,blue-collar,married,basic.4y,unknown,yes,yes,telephone,may,fri,383,3,999,0,nonexistent,1.1,93.994,-36.4,4.855,5191,no,Bin 2,Bin 3,0.100238032,0.450169399,1,0,0,0,Adult
37,technician,single,professional.course,no,no,no,telephone,may,fri,120,1,999,0,nonexistent,1.1,93.994,-36.4,4.855,5191,no,Bin 1,Bin 1,0.030679714,-0.516532439,0,0,1,0,Adult
38,management,married,basic.9y,unknown,no,no,telephone,may,fri,772,1,999,0,nonexistent,1.1,93.994,-36.4,4.855,5191,yes,Bin 1,Bin 1,0.203120867,1.880005957,1,0,0,0,Adult
35,blue-collar,married,basic.6y,no,unknown,unknown,telephone,may,fri,171,1,999,0,nonexistent,1.1,93.994,-36.4,4.855,5191,no,Bin 1,Bin 1,0.044168209,-0.329073147,1,0,0,0,Adult
37,blue-collar,married,basic.9y,no,yes,yes,telephone,may,fri,198,1,999,0,nonexistent,1.1,93.994,-36.4,4.855,5191,no,Bin 1,Bin 1,0.051309177,-0.229829992,1,0,0,0,Adult
40,blue-collar,divorced,basic.9y,no,no,no,telephone,may,fri,25,1,999,0,nonexistent,1.1,93.994,-36.4,4.855,5191,no,Bin 1,Bin 1,0.005554086,-0.865721315,0,1,0,0,Adult
29,blue-collar,single,basic.9y,no,no,no,telephone,may,fri,479,2,999,0,nonexistent,1.1,93.994,-36.4,4.855,5191,no,Bin 1,Bin 2,0.125628141,0.803033948,0,0,1,0,Adult
32,services,married,high.school,no,no,no,telephone,may,fri,213,2,999,0,nonexistent,1.1,93.994,-36.4,4.855,5191,no,Bin 1,Bin 2,0.055276382,-0.174694907,1,0,0,0,Adult
42,services,married,high.school,no,no,no,telephone,may,fri,137,3,999,0,nonexistent,1.1,93.994,-36.4,4.855,5191,no,Bin 2,Bin 3,0.035175879,-0.454046008,1,0,0,0,Adult
53,management,married,basic.4y,no,yes,no,telephone,may,fri,241,1,999,0,nonexistent,1.1,93.994,-36.4,4.855,5191,no,Bin 1,Bin 1,0.06268183,-0.07177608,1,0,0,0,Mid-age
